Category,SubCategory,Series,Item No,Description,Pack,Carton Qty,2025 List Price,Disc Code,Nett,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.A,25810400,"Rinox Plus M G1/2"" (15mm) Pressure reducing valve",1,10,$96.00,P1,$28.80,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.A,25810500,"Rinox Plus M G3/4"" (20mm) Pressure reducing valve",1,10,$96.00,P1,$28.80,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.A,25810600,"Rinox Plus M G1"" (25mm) Pressure reducing valve",1,4,$240.00,P1,$72.00,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.A,25810700,"Rinox Plus M G1 1/4"" (32mm) Pressure reducing valve",1,4,$340.00,P1,$102.00,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.A,25810800,"Rinox Plus M G1 1/2"" (40mm) Pressure reducing valve",1,4,$448.00,P1,$134.40,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.A,25810900,"Rinox Plus M G2"" (50mm) Pressure reducing valve",1,4,$766.00,P1,$229.80,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.B,25810490,"Rinox Plus SmartM G1/2"" (15mm) Pressure reducing valve with calibration knob",1,6,$200.00,P1,$60.00,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.B,25810590,"Rinox Plus SmartM G3/4"" (20mm) Pressure reducing valve with calibration knob",1,6,$222.00,P1,$66.60,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.B,25810690,"Rinox Plus SmartM G1"" (25mm) Pressure reducing valve with calibration knob",1,6,$403.00,P1,$120.90,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.B,25810790,"Rinox Plus SmartM G1 1/4"" (32mm) Pressure reducing valve with calibration knob",1,4,$578.00,P1,$173.40,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.B,25810890,"Rinox Plus SmartM G1 1/2"" (40mm) Pressure reducing valve with calibration knob",1,4,$727.00,P1,$218.10,
Plumbing & Water Distribution,Pressure Reducing Valves,2581.B,25810990,"Rinox Plus SmartM G2"" (50mm) Pressure reducing valve with calibration knob",1,4,"$1,165.00",P1,$349.50,
