Item No,Name,Base,Rubber Mount,Qty of Mounts,Pump List,Pump Nett,IP-56 Nett,IP-66 Nett,Base Nett,Rubber Mount Nett
92501226,CR 185-2-2,,,," $26,594.00 "," $13,297.00 ",,,, $11.83 
92501238,CR 185-2,,,," $33,017.00 "," $16,508.50 ",,,, $11.83 
92501255,CR 185-3-3,,,," $39,968.00 "," $19,984.00 ",,,, $11.83 
92501272,CR 185-3,,,," $47,771.00 "," $23,885.50 ",,,, $11.83 
92501285,CR 185-4-3,,,," $48,977.00 "," $24,488.50 ",,,, $11.83 
92501317,CR 185-4,,,," $56,998.00 "," $28,499.00 ",,,, $11.83 
92501757,CR 185-5-3,,,," $63,958.00 "," $31,979.00 ",,,, $11.83 
92501802,CR 185-5,,,," $63,958.00 "," $31,979.00 ",,,, $11.83 
92501840,CR 185-6-3,,,," $72,548.00 "," $36,274.00 ",,,, $11.83 
92501854,CR 185-6,,,," $72,548.00 "," $36,274.00 ",,,, $11.83 
92501868,CR 185-7-3,,,," $84,115.00 "," $42,057.50 ",,,, $11.83 
92501903,CR 185-7,,,," $84,115.00 "," $42,057.50 ",,,, $11.83 
92501925,CR 185-8-3,,,," $99,251.00 "," $49,625.50 ",,,, $11.83 
92501939,CR 185-8,,,," $99,251.00 "," $49,625.50 ",,,, $11.83 
92541252,CR 215-1,,,," $26,594.00 "," $13,297.00 ",,,, $11.83 
92541253,CR 215-2-2,,,," $33,017.00 "," $16,508.50 ",,,, $11.83 
92541254,CR 215-2-1,,,," $39,968.00 "," $19,984.00 ",,,, $11.83 
92541255,CR 215-2,,,," $47,771.00 "," $23,885.50 ",,,, $11.83 
92541256,CR 215-3-2,,,," $48,977.00 "," $24,488.50 ",,,, $11.83 
92541258,CR 215-3,,,," $56,998.00 "," $28,499.00 ",,,, $11.83 
92541260,CR 215-4-2,,,," $63,958.00 "," $31,979.00 ",,,, $11.83 
92541261,CR 215-4,,,," $71,342.00 "," $35,671.00 ",,,, $11.83 
92541262,CR 215-5-2,,,," $72,548.00 "," $36,274.00 ",,,, $11.83 
92541263,CR 215-5,,,," $84,115.00 "," $42,057.50 ",,,, $11.83 
92541265,CR 215-6-3,,,," $85,321.00 "," $42,660.50 ",,,, $11.83 
92541266,CR 215-6,,,," $99,251.00 "," $49,625.50 ",,,, $11.83 
92541267,CR 215-7-2,,,," $100,457.00 "," $50,228.50 ",,,, $11.83 
92541462,CR 255-1-1,,,," $22,224.00 "," $11,112.00 ",,,, $11.83 
92541463,CR 255-1,,,," $33,025.00 "," $16,512.50 ",,,, $11.83 
92541464,CR 255-2-2,,,," $39,978.00 "," $19,989.00 ",,,, $11.83 
92541465,CR 255-2,,,," $48,989.00 "," $24,494.50 ",,,, $11.83 
92541466,CR 255-3-2,,,," $57,013.00 "," $28,506.50 ",,,, $11.83 
92541467,CR 255-3,,,," $63,974.00 "," $31,987.00 ",,,, $11.83 
92541468,CR 255-4-2,,,," $72,567.00 "," $36,283.50 ",,,, $11.83 
92541469,CR 255-4,,,," $84,137.00 "," $42,068.50 ",,,, $11.83 
92541480,CR 255-5-3,,,," $85,343.00 "," $42,671.50 ",,,, $11.83 
92541481,CR 255-5,,,," $99,277.00 "," $49,638.50 ",,,, $11.83 
92541482,CR 255-6-2,,,," $100,483.00 "," $50,241.50 ",,,, $11.83 
92899676,CR 1S-27,,,," $3,110.00 "," $1,555.00 ",,,, $11.83 
92899679,CR 1S-2,,,," $1,325.00 ", $662.50 ,,,, $11.83 
92899721,CR 1S-3,,,," $1,372.00 ", $686.00 ,,,, $11.83 
92899722,CR 1S-4,,,," $1,420.00 ", $710.00 ,,,, $11.83 
92899723,CR 1S-5,,,," $1,467.00 ", $733.50 ,,,, $11.83 
92899724,CR 1S-6,,,," $1,515.00 ", $757.50 ,,,, $11.83 
