Item No,Name,kW,Poles,Inertia PN,Inertia Size,Standard Spring PN,Standard Spring,50mm Static Spring PN,50mm Spring,Qty Springs,Pump List,Pump Nett,IP-56 List,IP-56 Nett,IP-66 List,IP-66 Nett,Inertia Nett,Crossbar Nett,Standard Spring Nett,50mm Spring Nett
99801272,NBG 50-32-160/172,0.55,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3545,1772.5,,,,,565.52,284.76,59.52,$288.58
99801288,NBG 65-50-160/151,0.55,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3654,1827,,,,,565.52,284.76,59.52,$288.58
99801289,NBG 65-50-160/162,0.75,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3911,1955.5,,,,,565.52,284.76,59.52,$288.58
99801302,NBG 80-65-160/131,0.55,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3692,1846,,,,,565.52,284.76,59.52,$288.58
99801275,NBG 50-32-200/197,0.75,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3906,1953,,,,,565.52,284.76,59.52,$288.58
99801303,NBG 80-65-160/139,0.75,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3774,1887,,,,,565.52,284.76,59.52,$288.58
99801274,NBG 50-32-200/184,0.55,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3623,1811.5,,,,,565.52,284.76,59.52,$288.58
99796406,NBG 50-32-160/139,2.2,2,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3880,1940,,,,,565.52,284.76,59.52,$288.58
99801276,NBG 50-32-200/216,1.1,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,4013,2006.5,,,,,565.52,284.76,59.52,$288.58
99801304,NBG 80-65-160/158,1.1,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3832,1916,,,,,565.52,284.76,59.52,$288.58
99801277,NBG 50-32-200/219,1.5,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,4034,2017,,,,,565.52,284.76,59.52,$288.58
99801278,NBG 65-40-200/177,0.75,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3528,1764,,,,,565.52,284.76,59.52,$288.58
99801305,NBG 80-65-160/175,1.5,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3930,1965,,,,,565.52,284.76,59.52,$288.58
99796407,NBG 50-32-160/151,3,2,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3947,1973.5,,,,,565.52,284.76,59.52,$288.58
99801279,NBG 65-40-200/198,1.1,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,4005,2002.5,,,,,565.52,284.76,59.52,$288.58
99801319,NBG 100-80-160/135,0.75,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,3912,1956,,,,,565.52,284.76,59.52,$288.58
99801291,NBG 80-50-200/171,1.1,4,98336369,800 x 630 x 125,92932672,CSM-14,93176749,CWDM-36,4,4326,2163,,,,,565.52,284.76,59.52,$288.58
