Item No,Name,kW,Poles,Inertia PN,Inertia Size,Standard Spring PN,Standard Spring,50mm Static Spring PN,50mm Spring,Qty Springs,Pump List,Pump Nett,IP-56 List,IP-56 Nett,IP-66 List,IP-66 Nett,Inertia Nett,Crossbar Nett,Standard Spring Nett,50mm Spring Nett
99801352,NBG 125-100-200/219,11,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$8,423.00","$4,211.50",,,,,$741.99,$284.76,$153.30,$668.94
99817787,NBG 100-65-200/217,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$10,638.00","$5,319.00",,,,,$741.99,$284.76,$153.30,$668.94
99796422,NBG 65-40-250/260,30,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$10,047.00","$5,023.50",,,,,$741.99,$284.76,$153.30,$668.94
99801123,NBG 125-80-160/177,30,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$12,515.00","$6,257.50",,,,,$741.99,$284.76,$153.30,$668.94
99801385,NBG 200-150-250/226-214,15,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$13,406.00","$6,703.00",,,,,$741.99,$284.76,$153.30,$668.94
99801340,NBG 125-80-315/320,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,729.00","$5,864.50",,,,,$741.99,$284.76,$153.30,$668.94
99801092,NBG 80-50-250/254,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$10,657.00","$5,328.50",,,,,$741.99,$284.76,$153.30,$668.94
99801107,NBG 100-65-200/219,37,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$10,863.00","$5,431.50",,,,,$741.99,$284.76,$153.30,$668.94
99801125,NBG 125-80-200/188,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$10,460.00","$5,230.00",,,,,$741.99,$284.76,$153.30,$668.94
99801357,NBG 125-100-315/295,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$12,333.00","$6,166.50",,,,,$741.99,$284.76,$153.30,$668.94
99801370,NBG 150-125-250/249,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,121.00","$5,560.50",,,,,$741.99,$284.76,$153.30,$668.94
99801137,NBG 125-100-160/176,30,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$14,073.00","$7,036.50",,,,,$741.99,$284.76,$153.30,$668.94
99801093,NBG 80-50-250/263,37,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,243.00","$5,621.50",,,,,$741.99,$284.76,$153.30,$668.94
99801138,NBG 125-100-200/170,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,060.00","$5,530.00",,,,,$741.99,$284.76,$153.30,$668.94
99801108,NBG 100-65-250/223,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$10,714.00","$5,357.00",,,,,$741.99,$284.76,$153.30,$668.94
99801126,NBG 125-80-200/200,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,619.00","$5,809.50",,,,,$741.99,$284.76,$153.30,$668.94
99796424,NBG 65-40-315/298,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,628.00","$5,814.00",,,,,$741.99,$284.76,$153.30,$668.94
99801139,NBG 125-100-200/181,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,345.00","$5,672.50",,,,,$741.99,$284.76,$153.30,$668.94
99801094,NBG 80-50-315/267,30,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$10,671.00","$5,335.50",,,,,$741.99,$284.76,$153.30,$668.94
99801109,NBG 100-65-250/238,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,440.00","$5,720.00",,,,,$741.99,$284.76,$153.30,$668.94
99801342,NBG 125-80-400/347,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$15,647.00","$7,823.50",,,,,$741.99,$284.76,$153.30,$668.94
99801386,NBG 200-150-250/230,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$14,297.00","$7,148.50",,,,,$741.99,$284.76,$153.30,$668.94
99801373,NBG 150-125-315/275,18.5,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$12,121.00","$6,060.50",,,,,$741.99,$284.76,$153.30,$668.94
99796425,NBG 65-40-315/318,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$12,524.00","$6,262.00",,,,,$741.99,$284.76,$153.30,$668.94
99801384,NBG 200-150-200/218-208,11,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$10,488.00","$5,244.00",,,,,$741.99,$284.76,$153.30,$668.94
99801095,NBG 80-50-315/285,37,2,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,632.00","$5,816.00",,,,,$741.99,$284.76,$153.30,$668.94
99801341,NBG 125-80-315/334,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$12,312.00","$6,156.00","$1,166.00",$583.00,,,$741.99,$284.76,$153.30,$668.94
99801358,NBG 125-100-315/312,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$12,840.00","$6,420.00",,,,,$741.99,$284.76,$153.30,$668.94
99801371,NBG 150-125-250/262,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$11,564.00","$5,782.00",$946.00,$473.00,,,$741.99,$284.76,$153.30,$668.94
99801343,NBG 125-80-400/365,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$16,034.00","$8,017.00",,,,,$741.99,$284.76,$153.30,$668.94
99801387,NBG 200-150-250/242,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$14,844.00","$7,422.00",,,,,$741.99,$284.76,$153.30,$668.94
99801374,NBG 150-125-315/290,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$12,763.00","$6,381.50",,,,,$741.99,$284.76,$153.30,$668.94
99801359,NBG 125-100-400/334,22,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$14,818.00","$7,409.00",,,,,$741.99,$284.76,$153.30,$668.94
99801372,NBG 150-125-250/269,30,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$13,817.00","$6,908.50",,,,,$741.99,$284.76,$153.30,$668.94
99817807,NBG 125-100-315/334,30,4,99051550,1500 x 800 x 225,91338019,CLM-98,,CDM-53,4,"$14,032.00","$7,016.00",$798.00,$399.00,,,$741.99,$284.76,$153.30,$668.94
